City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,San Felipe,VE,10.3399,-68.7425,71.62,89,99,3.09,overcast clouds
221,Vao,NC,-22.6667,167.4833,70.32,61,35,18.3,scattered clouds
222,Roald,NO,62.5833,6.1333,55.76,81,75,8.05,light rain
223,Bilma,NE,18.6853,12.9164,90.63,36,7,12.97,clear sky
224,Fort Frances,CA,48.5999,-93.4003,66.06,65,100,1.01,overcast clouds
225,Iwaki,JP,37.05,140.8833,78.03,86,100,3.0,overcast clouds
226,Yanam,IN,16.7333,82.2167,90.39,54,95,11.79,moderate rain
227,Mayo,US,38.8876,-76.5119,76.17,84,100,5.75,overcast clouds
228,Sabzevar,IR,36.2126,57.6819,90.68,13,0,16.11,clear sky
229,Mogadishu,SO,2.0371,45.3438,78.1,82,73,21.21,light rain
230,Benghazi,LY,32.1167,20.0667,78.17,59,0,9.48,clear sky
231,Baicheng,CN,45.6167,122.8167,75.76,74,99,12.41,overcast clouds
232,Laguna,US,38.421,-121.4238,76.08,55,0,5.75,clear sky
233,Poum,NC,-20.2333,164.0167,72.91,62,0,22.77,clear sky
234,Mount Darwin,ZW,-16.7725,31.5838,66.6,45,36,7.7,scattered clouds
235,Pevek,RU,69.7008,170.3133,34.05,82,100,9.31,overcast clouds
236,Krasnaya Zarya,RU,52.7825,37.6806,68.18,61,6,14.07,clear sky
237,Kenai,US,60.5544,-151.2583,61.03,90,20,9.22,few clouds
238,Mahanoro,MG,-19.9,48.8,72.01,68,2,4.25,clear sky
239,Moerai,PF,-22.4333,-151.3333,72.21,61,100,21.83,overcast clouds
240,Mangrol,IN,21.1167,70.1167,81.21,89,100,21.21,moderate rain
241,Faanui,PF,-16.4833,-151.75,77.41,61,100,23.06,overcast clouds
242,Viransehir,TR,37.2353,39.7631,98.74,18,0,3.47,clear sky
243,Coquimbo,CL,-29.9533,-71.3436,49.73,100,100,5.75,overcast clouds
244,Manaus,BR,-3.1019,-60.025,79.29,83,0,5.75,clear sky
245,Mayumba,GA,-3.432,10.6554,71.83,83,92,3.96,overcast clouds
246,Ancud,CL,-41.8697,-73.8203,40.23,84,6,8.28,clear sky
247,Ribeirao Branco,BR,-24.2208,-48.7656,54.73,89,14,1.77,few clouds
248,Lins,BR,-21.6786,-49.7425,62.37,56,100,7.11,overcast clouds
249,Kalemie,CD,-5.9475,29.1947,77.18,49,24,11.36,few clouds
250,Botwood,CA,49.1499,-55.3482,53.91,92,29,2.46,scattered clouds
251,Xinyu,CN,27.8043,114.9334,98.92,43,100,2.64,overcast clouds
252,Bereda,ES,43.2686,-7.5406,70.41,100,100,3.76,overcast clouds
253,Ambilobe,MG,-13.2,49.05,84.15,38,51,3.36,broken clouds
254,Pangkalanbuun,ID,-2.6833,111.6167,87.13,65,87,3.06,overcast clouds
255,Pasinler,TR,39.9803,41.6764,70.79,45,0,9.01,clear sky
256,Geraldton,AU,-28.7667,114.6,66.61,77,40,6.91,scattered clouds
257,Brae,GB,60.3964,-1.353,51.87,80,100,16.58,light rain
258,Narsaq,GL,60.9167,-46.05,57.42,61,99,3.6,overcast clouds
259,Mount Isa,AU,-20.7333,139.5,71.37,15,0,10.36,clear sky
260,Santa Cruz,BO,-17.8,-63.1667,72.86,88,75,19.57,broken clouds
261,Kropotkin,RU,45.4375,40.5756,77.13,50,0,3.24,clear sky
262,Dingle,PH,10.9995,122.6711,86.18,73,100,4.72,overcast clouds
263,Pospelikha,RU,51.95,81.7667,62.87,65,100,7.4,overcast clouds
264,Fortuna,US,40.5982,-124.1573,57.65,85,33,1.01,scattered clouds
265,Cherskiy,RU,68.75,161.3,57.33,41,100,8.52,overcast clouds
266,Anadyr,RU,64.75,177.4833,54.1,71,40,4.47,scattered clouds
267,Van Buren,US,35.4368,-94.3483,83.19,64,0,5.75,clear sky
268,Camargo,MX,27.6667,-105.1667,80.04,38,0,12.8,clear sky
269,Berlevag,NO,70.8578,29.0864,67.95,68,0,14.97,clear sky
270,Gorom-Gorom,BF,14.4439,-0.2361,85.98,53,6,13.31,clear sky
271,Road Town,VG,18.4167,-64.6167,80.69,81,5,23.44,clear sky
272,Rundu,NA,-17.9333,19.7667,58.75,33,0,8.1,clear sky
273,Bacalar,MX,18.6667,-88.3833,76.5,93,100,3.98,overcast clouds
274,Northam,GB,51.0333,-4.2167,60.66,92,31,2.51,scattered clouds
275,Shubarshi,KZ,48.5872,57.1869,97.54,13,33,19.48,scattered clouds
276,Touros,BR,-5.1989,-35.4608,71.87,91,22,12.73,few clouds
277,Necochea,AR,-38.5473,-58.7368,51.03,98,100,6.58,overcast clouds
278,Half Moon Bay,US,37.4636,-122.4286,61.92,83,100,21.85,mist
279,Dickinson,US,29.4608,-95.0513,80.98,90,40,0.0,scattered clouds
