City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
582,Asyut,EG,78.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
592,Koror,PW,80.92,overcast clouds,7.3398,134.4733,Palau Royal Resort
594,Gujrat,PK,82.36,overcast clouds,32.5728,74.079,Aziz Butt
596,Pecos,US,83.3,scattered clouds,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
597,Kokopo,PG,81.93,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
602,Ferrol,ES,79.72,broken clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
603,Yuanping,CN,78.6,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
604,Zacualpan,MX,80.49,overcast clouds,21.25,-105.1667,La Colorada B&B
609,Benjamin Hill,MX,76.59,overcast clouds,30.1667,-111.1,Hotel Benjamín Hill
611,Hasaki,JP,79.29,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
612,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
615,Uhlove,UA,76.78,clear sky,44.8215,33.6045,Tavryda
619,Muroto,JP,81.19,few clouds,33.2833,134.15,Oota Ryokan
621,Sarangani,PH,82.26,scattered clouds,5.4033,125.4636,JVL Inn and Cafeteria
625,Axim,GH,75.15,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
634,Pozo Colorado,PY,82.58,scattered clouds,-23.4923,-58.7972,Hospedaje La Norteña
639,Diffa,NE,80.4,light rain,13.3154,12.6113,ProDAF/Diffa
643,Willmar,US,75.38,clear sky,45.1219,-95.0433,Lakeview Inn
649,Saint-Pierre,RE,76.68,few clouds,-21.3393,55.4781,Alize Plage
652,Tautira,PF,75.97,overcast clouds,-17.7333,-149.15,Pension Oaoa
654,Boffa,GN,75.51,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
655,Simao,CN,83.68,overcast clouds,22.7886,100.9748,Changyu Hotel
662,Salinopolis,BR,76.84,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
667,Starosubkhangulovo,RU,80.96,overcast clouds,53.1031,57.4423,"Gostinichnyy Kompleks ""Yulbars"""
670,San Ignacio,BZ,77.14,clear sky,17.1561,-89.0714,Rainforest Haven Inn
671,Tual,ID,79.39,broken clouds,-5.6667,132.75,Grand Vilia Hotel
673,Khuzdar,PK,83.68,overcast clouds,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
676,Cockburn Town,TC,81.64,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
685,Puerto Colombia,CO,80.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
688,Mbandaka,CD,76.53,broken clouds,0.0487,18.2603,Guest House Epervier
694,Sambava,MG,75.06,clear sky,-14.2667,50.1667,Melrose
695,Lorengau,PG,81.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
699,Elizabeth City,US,77.99,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
700,La Spezia,IT,79.84,clear sky,44.1105,9.8434,Hotel NH La Spezia
